product_id,title,rating,initial_price,discount,final_price,seller_name,category,discount_amount,total_amount
18946592,Indian Virasat,4.3,2999,72.0,839.0,Tra███ion███Exp█████████rat██████,kurta-sets,2160.0,839.0
19027352,Jompers,4.2,2199,66.0,747.0,IND███ NE███E -██████,kurta-sets,1452.0,747.0
17754514,Indo Era,4.1,6799,75.0,1699.0,ZEN███R B███D T█████████ PR███████████████,kurta-sets,5100.0,1699.0
19027424,Jompers,4.1,2199,66.0,747.0,IND███ NE███E P█████████MIT███,kurta-sets,1452.0,747.0
19027432,Jompers,4.4,2999,63.0,1109.0,IND███ NE███E -██████,kurta-sets,1890.0,1109.0
15189724,VASTRAMAY,4.2,1799,59.0,737.0,Vas███may███t. ██████,kurta-sets,1062.0,737.0
14325388,Anouk,4.1,2899,0.0,2899.0,Unknown,kurta-sets,0.0,2899.0
17090208,Anouk,4.3,3399,0.0,3399.0,Fla███ech███tai███,kurta-sets,0.0,3399.0
13446422,Biba,4.4,4995,50.0,2997.0,Fla███tar███mme██████,kurta-sets,1998.0,2997.0
2184914,SUGAR,4.3,499,13.0,434.0,VEL███TTE███FES█████████LTD███,lipstick,65.0,434.0
18273822,Dreamz by Pantaloons,4.5,499,2.0,489.0,Wes███ry ███din█████████d_P████████████,lounge-shorts,10.0,489.0
22492614,U.S. Polo Assn.,4.2,699,5.0,664.0,ARV███ LI███TYL█████████LIM██████,lounge-tshirts,35.0,664.0
13428018,ETC,4.3,799,70.0,559.0,Tru███t C███erc███,lounge-tshirts,240.0,559.0
15898082,Bailey sells,4.6,1450,52.0,696.0,Nav███Ent███ris███,nightdress,754.0,696.0
22721938,Sweet Dreams,4.8,999,40.0,999.0,Unknown,nightdress,0.0,999.0
17832728,Dreamz by Pantaloons,4.9,699,47.0,699.0,Unknown,nightdress,0.0,699.0
18209958,Sweet Dreams,4.1,2099,44.0,2099.0,Unknown,night-suits,0.0,2099.0
15973760,Zoom Minimondo,4.8,1299,69.0,402.0,KCJ███RKE███G P█████████MIT███,night-suits,897.0,402.0
16512022,MASQ,4.5,447,50.0,223.0,Q-ONE,outdoor-masks,224.0,223.0
17361920,Indo Era,4.2,1799,69.0,557.0,ZEN███R B███D T█████████ PR███████████████,palazzos,1242.0,557.0
17288460,Cutiekins,4.2,1099,59.0,450.0,CUT███INS███IVA█████████D,palazzos,649.0,450.0
15782402,BEARDO,4.4,2700,68.0,864.0,Omn███ch ███ail███,perfume-and-body-mist,1836.0,864.0
15294314,Zaveri Pearls,4.4,1995,82.0,359.0,ZAV███ PE███S,ring,1636.0,359.0
16254760,Zaveri Pearls,4.2,2250,81.0,2250.0,Unknown,ring,0.0,2250.0
10018911,SEJ by Nisha Gupta,4.5,1849,70.0,554.0,SEJ███RNI███NGS█████████LIM██████,runners,1295.0,554.0
10044165,Coolers,4.2,799,0.0,799.0,LIB███Y S███S L█████████,sandals,0.0,799.0
19183770,Crocs,4.1,3295,20.0,2636.0,Fla███ech███tai███,sandals,659.0,2636.0
18949542,Red Chief,4.3,3099,50.0,1549.0,Lea███ Gl███l P█████████,sandals,1550.0,1549.0
15725544,SALWAR STUDIO,4.1,3555,49.0,1813.0,OM ███THI███,saree-blouse,1742.0,1813.0
